eventname,eventcategory,eventdescription,eventdate,eventstatus
Login,Transactional,User logs into the application,2025-03-17,Active
Checkout,Transactional,User proceeds with purchase,2025-03-17,Active
Signup,Transactional,User signs up for a new account,2025-03-17,Active
ProductView,Social,User views a product page,2025-03-17,Active
AddToCart,Transactional,User adds a product to their shopping cart,2025-03-17,Active
Logout,Transactional,User logs out of the application,2025-03-17,Active
Subscription,Transactional,User subscribes to a service or newsletter,2025-03-17,Active
Signup,Transactional,Description for event 2,2025-03-18,Active
ProductView,Social,Description for event 3,2025-03-18,Archived
AddToCart,Transactional,Description for event 4,2025-03-18,Active
Subscription,Transactional,Description for event 6,2025-03-18,Active
Login,Social,Description for event 7,2025-03-18,Archived
Checkout,Transactional,Description for event 8,2025-03-18,Active
Signup,Social,Description for event 9,2025-03-18,Archived
ProductView,Transactional,Description for event 10,2025-03-18,Active
Signup,Transactional,Description for event 2,2025-03-18,Active
ProductView,Social,Description for event 3,2025-03-18,Archived
AddToCart,Transactional,Description for event 4,2025-03-18,Active
Subscription,Transactional,Description for event 6,2025-03-18,Active
Login,Social,Description for event 7,2025-03-18,Archived
Checkout,Transactional,Description for event 8,2025-03-18,Active
Signup,Social,Description for event 9,2025-03-18,Archived
ProductView,Transactional,Description for event 10,2025-03-18,Active
AddToCart,Social,Description for event 11,2025-03-18,Archived
Login,Transactional,Description for event 14,2025-03-18,Active
Checkout,Social,Description for event 15,2025-03-18,Archived
ProductView,Social,Description for event 17,2025-03-18,Archived
Subscription,Transactional,Description for event 20,2025-03-18,Active
Logout,Transactional,Description for event 26,2025-03-18,Active
Subscription,Social,Description for event 27,2025-03-18,Archived
Checkout,Social,Description for event 29,2025-03-18,Archived
Signup,Transactional,Description for event 30,2025-03-18,Active
ProductView,Social,Description for event 31,2025-03-18,Archived
Subscription,Transactional,Description for event 34,2025-03-18,Active
Login,Social,Description for event 35,2025-03-18,Archived
Logout,Transactional,Description for event 40,2025-03-18,Active
Login,Transactional,Description for event 42,2025-03-18,Active
Checkout,Social,Description for event 43,2025-03-18,Archived
Signup,Transactional,Description for event 44,2025-03-18,Active
AddToCart,Transactional,Description for event 46,2025-03-18,Active
Logout,Social,Description for event 47,2025-03-18,Archived
Subscription,Transactional,Description for event 48,2025-03-18,Active
Login,Social,Description for event 49,2025-03-18,Archived
Signup,Social,Description for event 51,2025-03-18,Archived
AddToCart,Social,Description for event 53,2025-03-18,Archived
Logout,Transactional,Description for event 54,2025-03-18,Active
Checkout,Social,Description for event 57,2025-03-18,Archived
AddToCart,Transactional,Description for event 60,2025-03-18,Active
Subscription,Transactional,Description for event 62,2025-03-18,Active
Login,Social,Description for event 63,2025-03-18,Archived
Signup,Social,Description for event 65,2025-03-18,Archived
Logout,Transactional,Description for event 68,2025-03-18,Active
Subscription,Social,Description for event 69,2025-03-18,Archived
Login,Transactional,Description for event 70,2025-03-18,Active
Signup,Transactional,Description for event 72,2025-03-18,Active
ProductView,Social,Description for event 73,2025-03-18,Archived
Subscription,Transactional,Description for event 76,2025-03-18,Active
Checkout,Transactional,Description for event 78,2025-03-18,Active
Signup,Social,Description for event 79,2025-03-18,Archived
AddToCart,Social,Description for event 81,2025-03-18,Archived
Logout,Transactional,Description for event 82,2025-03-18,Active
Checkout,Social,Description for event 85,2025-03-18,Archived
Signup,Transactional,Description for event 86,2025-03-18,Active
ProductView,Social,Description for event 87,2025-03-18,Archived
Logout,Social,Description for event 89,2025-03-18,Archived
Subscription,Transactional,Description for event 90,2025-03-18,Active
Checkout,Transactional,Description for event 92,2025-03-18,Active
Signup,Social,Description for event 93,2025-03-18,Archived
Logout,Transactional,Description for event 96,2025-03-18,Active
Subscription,Social,Description for event 97,2025-03-18,Archived
Checkout,Social,Description for event 99,2025-03-18,Archived
Logout,Social,Description for event 103,2025-03-18,Archived
Subscription,Transactional,Description for event 104,2025-03-18,Active
Login,Social,Description for event 105,2025-03-18,Archived
Checkout,Transactional,Description for event 106,2025-03-18,Active
AddToCart,Social,Description for event 109,2025-03-18,Archived
Login,Transactional,Description for event 112,2025-03-18,Active
AddToCart,Transactional,Description for event 116,2025-03-18,Active
Checkout,Transactional,Description for event 120,2025-03-18,Active
ProductView,Transactional,Description for event 122,2025-03-18,Active
Login,Transactional,Description for event 126,2025-03-18,Active
Checkout,Social,Description for event 127,2025-03-18,Archived
Signup,Transactional,Description for event 128,2025-03-18,Active
ProductView,Social,Description for event 129,2025-03-18,Archived
AddToCart,Transactional,Description for event 130,2025-03-18,Active
Signup,Social,Description for event 135,2025-03-18,Archived
AddToCart,Social,Description for event 137,2025-03-18,Archived
Logout,Transactional,Description for event 138,2025-03-18,Active
Subscription,Social,Description for event 139,2025-03-18,Archived
Login,Transactional,Description for event 140,2025-03-18,Active
Login,Social,Description for event 147,2025-03-18,Archived
Checkout,Transactional,Description for event 148,2025-03-18,Active
ProductView,Transactional,Description for event 150,2025-03-18,Active
AddToCart,Social,Description for event 151,2025-03-18,Archived
Logout,Transactional,Description for event 152,2025-03-18,Active
Login,Transactional,Description for event 154,2025-03-18,Active
Checkout,Social,Description for event 155,2025-03-18,Archived
Payment,Transactional,User makes a payment for an order,2025-03-17,Active
Search,Social,User searches for products or content,2025-03-17,Active
Review,Social,User writes a review for a product,2025-03-17,Active
Checkout,Social,Description for event 1,2025-03-18,Archived
Logout,Social,Description for event 5,2025-03-18,Archived
Checkout,Social,Description for event 1,2025-03-18,Archived
Logout,Social,Description for event 5,2025-03-18,Archived
Logout,Transactional,Description for event 12,2025-03-18,Active
Subscription,Social,Description for event 13,2025-03-18,Archived
Signup,Transactional,Description for event 16,2025-03-18,Active
AddToCart,Transactional,Description for event 18,2025-03-18,Active
Logout,Social,Description for event 19,2025-03-18,Archived
Login,Social,Description for event 21,2025-03-18,Archived
Checkout,Transactional,Description for event 22,2025-03-18,Active
Signup,Social,Description for event 23,2025-03-18,Archived
ProductView,Transactional,Description for event 24,2025-03-18,Active
AddToCart,Social,Description for event 25,2025-03-18,Archived
Login,Transactional,Description for event 28,2025-03-18,Active
AddToCart,Transactional,Description for event 32,2025-03-18,Active
Logout,Social,Description for event 33,2025-03-18,Archived
Checkout,Transactional,Description for event 36,2025-03-18,Active
Signup,Social,Description for event 37,2025-03-18,Archived
ProductView,Transactional,Description for event 38,2025-03-18,Active
AddToCart,Social,Description for event 39,2025-03-18,Archived
Subscription,Social,Description for event 41,2025-03-18,Archived
ProductView,Social,Description for event 45,2025-03-18,Archived
Checkout,Transactional,Description for event 50,2025-03-18,Active
ProductView,Transactional,Description for event 52,2025-03-18,Active
Subscription,Social,Description for event 55,2025-03-18,Archived
Login,Transactional,Description for event 56,2025-03-18,Active
Signup,Transactional,Description for event 58,2025-03-18,Active
ProductView,Social,Description for event 59,2025-03-18,Archived
Logout,Social,Description for event 61,2025-03-18,Archived
Checkout,Transactional,Description for event 64,2025-03-18,Active
ProductView,Transactional,Description for event 66,2025-03-18,Active
AddToCart,Social,Description for event 67,2025-03-18,Archived
Checkout,Social,Description for event 71,2025-03-18,Archived
AddToCart,Transactional,Description for event 74,2025-03-18,Active
Logout,Social,Description for event 75,2025-03-18,Archived
Login,Social,Description for event 77,2025-03-18,Archived
ProductView,Transactional,Description for event 80,2025-03-18,Active
Subscription,Social,Description for event 83,2025-03-18,Archived
Login,Transactional,Description for event 84,2025-03-18,Active
AddToCart,Transactional,Description for event 88,2025-03-18,Active
Login,Social,Description for event 91,2025-03-18,Archived
ProductView,Transactional,Description for event 94,2025-03-18,Active
AddToCart,Social,Description for event 95,2025-03-18,Archived
Login,Transactional,Description for event 98,2025-03-18,Active
Signup,Transactional,Description for event 100,2025-03-18,Active
ProductView,Social,Description for event 101,2025-03-18,Archived
AddToCart,Transactional,Description for event 102,2025-03-18,Active
Signup,Social,Description for event 107,2025-03-18,Archived
ProductView,Transactional,Description for event 108,2025-03-18,Active
Logout,Transactional,Description for event 110,2025-03-18,Active
Subscription,Social,Description for event 111,2025-03-18,Archived
Checkout,Social,Description for event 113,2025-03-18,Archived
Signup,Transactional,Description for event 114,2025-03-18,Active
ProductView,Social,Description for event 115,2025-03-18,Archived
Logout,Social,Description for event 117,2025-03-18,Archived
Subscription,Transactional,Description for event 118,2025-03-18,Active
Login,Social,Description for event 119,2025-03-18,Archived
Signup,Social,Description for event 121,2025-03-18,Archived
AddToCart,Social,Description for event 123,2025-03-18,Archived
Logout,Transactional,Description for event 124,2025-03-18,Active
Subscription,Social,Description for event 125,2025-03-18,Archived
Logout,Social,Description for event 131,2025-03-18,Archived
Subscription,Transactional,Description for event 132,2025-03-18,Active
Login,Social,Description for event 133,2025-03-18,Archived
Checkout,Transactional,Description for event 134,2025-03-18,Active
ProductView,Transactional,Description for event 136,2025-03-18,Active
Checkout,Social,Description for event 141,2025-03-18,Archived
Signup,Transactional,Description for event 142,2025-03-18,Active
ProductView,Social,Description for event 143,2025-03-18,Archived
AddToCart,Transactional,Description for event 144,2025-03-18,Active
Logout,Social,Description for event 145,2025-03-18,Archived
Subscription,Transactional,Description for event 146,2025-03-18,Active
Signup,Social,Description for event 149,2025-03-18,Archived
Subscription,Social,Description for event 153,2025-03-18,Archived
AddToCart,Transactional,Description for event 158,2025-03-18,Active
Logout,Social,Description for event 159,2025-03-18,Archived
Login,Social,Description for event 161,2025-03-18,Archived
Signup,Social,Description for event 163,2025-03-18,Archived
Logout,Transactional,Description for event 166,2025-03-18,Active
Subscription,Social,Description for event 167,2025-03-18,Archived
Checkout,Social,Description for event 169,2025-03-18,Archived
Signup,Transactional,Description for event 170,2025-03-18,Active
ProductView,Social,Description for event 171,2025-03-18,Archived
Logout,Social,Description for event 173,2025-03-18,Archived
Login,Social,Description for event 175,2025-03-18,Archived
Checkout,Transactional,Description for event 176,2025-03-18,Active
Signup,Social,Description for event 177,2025-03-18,Archived
AddToCart,Social,Description for event 179,2025-03-18,Archived
Subscription,Social,Description for event 181,2025-03-18,Archived
Login,Transactional,Description for event 182,2025-03-18,Active
Signup,Transactional,Description for event 184,2025-03-18,Active
ProductView,Social,Description for event 185,2025-03-18,Archived
Logout,Social,Description for event 187,2025-03-18,Archived
Login,Social,Description for event 189,2025-03-18,Archived
Checkout,Transactional,Description for event 190,2025-03-18,Active
Signup,Social,Description for event 191,2025-03-18,Archived
ProductView,Transactional,Description for event 192,2025-03-18,Active
AddToCart,Social,Description for event 193,2025-03-18,Archived
Logout,Transactional,Description for event 194,2025-03-18,Active
ProductView,Social,Description for event 199,2025-03-18,Archived
AddToCart,Transactional,Description for event 200,2025-03-18,Active
Login,Social,Description for event 203,2025-03-18,Archived
Checkout,Transactional,Description for event 204,2025-03-18,Active
ProductView,Transactional,Description for event 206,2025-03-18,Active
Checkout,Social,Description for event 211,2025-03-18,Archived
AddToCart,Transactional,Description for event 214,2025-03-18,Active
Logout,Social,Description for event 215,2025-03-18,Archived
Subscription,Transactional,Description for event 216,2025-03-18,Active
AddToCart,Social,Description for event 221,2025-03-18,Archived
Logout,Transactional,Description for event 222,2025-03-18,Active
Login,Transactional,Description for event 224,2025-03-18,Active
ProductView,Social,Description for event 227,2025-03-18,Archived
AddToCart,Transactional,Description for event 228,2025-03-18,Active
Logout,Social,Description for event 229,2025-03-18,Archived
Subscription,Transactional,Description for event 230,2025-03-18,Active
Login,Social,Description for event 231,2025-03-18,Archived
Checkout,Transactional,Description for event 232,2025-03-18,Active
ProductView,Transactional,Description for event 234,2025-03-18,Active
AddToCart,Social,Description for event 235,2025-03-18,Archived
Logout,Transactional,Description for event 236,2025-03-18,Active
Signup,Transactional,Description for event 240,2025-03-18,Active
ProductView,Social,Description for event 241,2025-03-18,Archived
Logout,Social,Description for event 243,2025-03-18,Archived
Login,Social,Description for event 245,2025-03-18,Archived
Checkout,Transactional,Description for event 246,2025-03-18,Active
Signup,Social,Description for event 247,2025-03-18,Archived
ProductView,Transactional,Description for event 248,2025-03-18,Active
AddToCart,Social,Description for event 249,2025-03-18,Archived
Logout,Transactional,Description for event 250,2025-03-18,Active
Subscription,Social,Description for event 251,2025-03-18,Archived
Login,Transactional,Description for event 252,2025-03-18,Active
Signup,Transactional,Description for event 254,2025-03-18,Active
ProductView,Social,Description for event 255,2025-03-18,Archived
AddToCart,Transactional,Description for event 256,2025-03-18,Active
Logout,Social,Description for event 257,2025-03-18,Archived
Login,Social,Description for event 259,2025-03-18,Archived
Checkout,Transactional,Description for event 260,2025-03-18,Active
ProductView,Transactional,Description for event 262,2025-03-18,Active
Logout,Transactional,Description for event 264,2025-03-18,Active
Login,Transactional,Description for event 266,2025-03-18,Active
Checkout,Social,Description for event 267,2025-03-18,Archived
Signup,Transactional,Description for event 268,2025-03-18,Active
ProductView,Social,Description for event 269,2025-03-18,Archived
AddToCart,Transactional,Description for event 270,2025-03-18,Active
Login,Social,Description for event 273,2025-03-18,Archived
Checkout,Transactional,Description for event 274,2025-03-18,Active
Signup,Social,Description for event 275,2025-03-18,Archived
Logout,Transactional,Description for event 278,2025-03-18,Active
Login,Transactional,Description for event 280,2025-03-18,Active
Signup,Transactional,Description for event 282,2025-03-18,Active
Login,Social,Description for event 287,2025-03-18,Archived
Checkout,Transactional,Description for event 288,2025-03-18,Active
Logout,Transactional,Description for event 292,2025-03-18,Active
Subscription,Social,Description for event 293,2025-03-18,Archived
Checkout,Social,Description for event 295,2025-03-18,Archived
ProductView,Social,Description for event 297,2025-03-18,Archived
Subscription,Transactional,Description for event 300,2025-03-18,Active
Login,Social,Description for event 301,2025-03-18,Archived
Checkout,Transactional,Description for event 302,2025-03-18,Active
Signup,Social,Description for event 303,2025-03-18,Archived
AddToCart,Social,Description for event 305,2025-03-18,Archived
Subscription,Social,Description for event 307,2025-03-18,Archived
Checkout,Social,Description for event 309,2025-03-18,Archived
Signup,Transactional,Description for event 310,2025-03-18,Active
AddToCart,Transactional,Description for event 312,2025-03-18,Active
Subscription,Transactional,Description for event 314,2025-03-18,Active
Login,Social,Description for event 315,2025-03-18,Archived
Checkout,Transactional,Description for event 316,2025-03-18,Active
Signup,Social,Description for event 317,2025-03-18,Archived
Logout,Transactional,Description for event 320,2025-03-18,Active
Login,Transactional,Description for event 322,2025-03-18,Active
Checkout,Social,Description for event 323,2025-03-18,Archived
Signup,Transactional,Description for event 324,2025-03-18,Active
ProductView,Social,Description for event 325,2025-03-18,Archived
AddToCart,Transactional,Description for event 326,2025-03-18,Active
AddToCart,Social,Description for event 333,2025-03-18,Archived
Subscription,Social,Description for event 335,2025-03-18,Archived
Signup,Transactional,Description for event 338,2025-03-18,Active
ProductView,Social,Description for event 339,2025-03-18,Archived
AddToCart,Transactional,Description for event 340,2025-03-18,Active
Logout,Social,Description for event 341,2025-03-18,Archived
Subscription,Transactional,Description for event 342,2025-03-18,Active
Checkout,Transactional,Description for event 344,2025-03-18,Active
ProductView,Transactional,Description for event 346,2025-03-18,Active
Logout,Transactional,Description for event 348,2025-03-18,Active
Checkout,Social,Description for event 351,2025-03-18,Archived
ProductView,Social,Description for event 353,2025-03-18,Archived
Logout,Social,Description for event 355,2025-03-18,Archived
Login,Social,Description for event 357,2025-03-18,Archived
Subscription,Social,Description for event 363,2025-03-18,Archived
ProductView,Social,Description for event 367,2025-03-18,Archived
AddToCart,Transactional,Description for event 368,2025-03-18,Active
Subscription,Transactional,Description for event 370,2025-03-18,Active
Login,Social,Description for event 371,2025-03-18,Archived
Checkout,Transactional,Description for event 372,2025-03-18,Active
Signup,Social,Description for event 373,2025-03-18,Archived
ProductView,Transactional,Description for event 374,2025-03-18,Active
AddToCart,Social,Description for event 375,2025-03-18,Archived
Login,Transactional,Description for event 378,2025-03-18,Active
AddToCart,Transactional,Description for event 382,2025-03-18,Active
Subscription,Transactional,Description for event 384,2025-03-18,Active
Checkout,Transactional,Description for event 386,2025-03-18,Active
Signup,Social,Description for event 387,2025-03-18,Archived
AddToCart,Social,Description for event 389,2025-03-18,Archived
Logout,Transactional,Description for event 390,2025-03-18,Active
Subscription,Social,Description for event 391,2025-03-18,Archived
Login,Transactional,Description for event 392,2025-03-18,Active
Checkout,Social,Description for event 393,2025-03-18,Archived
Logout,Social,Description for event 397,2025-03-18,Archived
Checkout,Transactional,Description for event 400,2025-03-18,Active
AddToCart,Social,Description for event 403,2025-03-18,Archived
Logout,Transactional,Description for event 404,2025-03-18,Active
Checkout,Social,Description for event 407,2025-03-18,Archived
Logout,Social,Description for event 411,2025-03-18,Archived
Subscription,Transactional,Description for event 412,2025-03-18,Active
Login,Social,Description for event 413,2025-03-18,Archived
Checkout,Transactional,Description for event 414,2025-03-18,Active
ProductView,Transactional,Description for event 416,2025-03-18,Active
Checkout,Social,Description for event 421,2025-03-18,Archived
ProductView,Social,Description for event 423,2025-03-18,Archived
AddToCart,Transactional,Description for event 424,2025-03-18,Active
Login,Social,Description for event 427,2025-03-18,Archived
ProductView,Transactional,Description for event 430,2025-03-18,Active
Logout,Transactional,Description for event 432,2025-03-18,Active
Subscription,Social,Description for event 433,2025-03-18,Archived
ProductView,Social,Description for event 437,2025-03-18,Archived
AddToCart,Transactional,Description for event 438,2025-03-18,Active
Subscription,Transactional,Description for event 440,2025-03-18,Active
ProductView,Transactional,Description for event 444,2025-03-18,Active
AddToCart,Social,Description for event 445,2025-03-18,Archived
Subscription,Social,Description for event 447,2025-03-18,Archived
Logout,Social,Description for event 453,2025-03-18,Archived
Login,Social,Description for event 455,2025-03-18,Archived
Signup,Social,Description for event 457,2025-03-18,Archived
ProductView,Transactional,Description for event 458,2025-03-18,Active
Subscription,Social,Description for event 461,2025-03-18,Archived
Login,Transactional,Description for event 462,2025-03-18,Active
Checkout,Social,Description for event 463,2025-03-18,Archived
Subscription,Transactional,Description for event 468,2025-03-18,Active
